B 生物科學類
E 工程技術類
H 人文及社會科學類
M 自然科學類
S 科學教育類

E01 機械固力
E02 化學工程
E03 造船工程
E04 電子電機
E05 資訊科技
E06 材料工程
E07 食品工程
E08 資訊
E09 土木、水利工程
E10 能源科技
E11 環境工程
E12 電信工程
E13 晶片系統國家型計畫
E14 微電子工程
E15 光電工程
E16 推動小組
E17 醫學工程
E18 電力工程
E19 智慧電子國家型計畫
E20 高分子與纖維
E22 創新產學平台專案規劃
E23 跨領域儀器研製專案
E24 性別主流科技計畫
E31 超(人類)感知〔SUPER (HUMAN) SENSES〕
E32 E化醫療保健（E-HEALTH）
E33 智慧生活空間科技（SMART LIVING SPACE）
E34 能源與環境（ENERGY & ENVIRONMENT）
E50 工業工程與管理
E57 南科半導體產業相關技術研究
E59 高速計算相關研究
E60 生產自動化技術
E61 控制工程
E70 航空
E71 航太技術
E72 熱傳學、流體力學
E80 海洋工程
E88 極端氣候下之複合性災害防治之研究－莫拉克颱風的經驗與教訓
E90 台電產業科技學術研究
E92 電信國家型計畫
E93 網路通訊國家型計畫
E95 O.A.
E97 熱傳
E98 專案計畫
E99 其他
ENE 工程處能源國家型科技計畫

B10 醫學
B20 生物學
B30 農學
B40 生物技術
B50 環保
B60 生物資訊
B90 專案及其他
B99 其他
BN1 核能安全
BN2 輻射及環境安全
BN3 藥物與試劑
BN4 醫學物理
BN5 放射治療
BN6 微量分析
BN7 輻射應用
BN8 輻射生物
BN9 其他
BNE 生物處能源國家型科技計畫
BNF 產業前瞻技術計畫

H01 文學一(中國文學、台灣文學、客家文學、原住民文學等）
H04 語言學
H05 文學二(外國文學)
H06 歷史學
H08 哲學
H09 人類學
H11 教育學
H12 心理學
H13 法律學
H14 政治學
H15 經濟學
H16 管理學
H17 社會學
H19 傳播學
H22 區域研究及地理
H23 藝術學
H24 性別研究
H25 東亞區域研究
H26 犯罪問題研究
H27 認知科學研究
H28 基因科技的人文議題
H29 宗教研究
H30 人文社會經典譯注
H31 身心障礙者輔助科技研究
H32 數位典藏與數位學習國家型科技計畫
H33 科技與社會
H34 南島民族歷史、文化與社會跨領域研究
H35 人文及社會科學學術性專書寫作計畫
H36 健康與社會不均等：成因、後果、與對策跨領域研究
H37 文化研究
H38 亞洲民生科技、社會與文化之比較研究
H39 當代中國政經社會文化整合型研究
H40 財金及會計
H41 管理學一
H42 管理學二
H43 災害風險與社會治理跨領域研究
H44 生命週期與心智轉折之跨領域研究
H45 台灣經驗實證調查資料庫與資料分析
H46 原住民部落與社會發展
H47 全球架構下的臺灣發展
H48 閱讀基礎研究
H49 心智科學腦影像研究
H50 人社實踐
H51 人文行遠專書寫作計畫
H52 數位人文
H99 其他
HA2 體育學
HA3 圖書資訊學

M01 統計
M02 數學
M03 物理
M04 化學
M05 地球科學
M06 大氣科學
M07 海洋科學
M10 奈米國家型科技計畫
M11 以尖端物理／化學方法探索生物系統跨領域研究
M12 地球系統跨領域整合研究
M13 綠色科學跨領域研究
M14 新穎材料核心設施
M15 卓越領航
M16 食品安全之微量分析與快速篩檢跨領域研究
M17 災害防治與防救科學技術
M18 空間資訊與人文社會經濟跨領域研究
M20 永續發展研究
M21 空間資訊科學
M22 學術攻頂
M80 貴儀中心
M81 優勢領域實驗室
M98 性別主流科技計畫
M99 其他
MNE 自然處能源國家型科技計畫

S10 科學教育理論
S20 科學課程與教材
S30 學生學習科學特性
S40 科學教學方法與教學環境
S41 教學法
S42 教學媒體
S43 電腦輔助教學
S50 科學評量與評鑑
S51 評量
S52 學力調查
S53 評鑑
S60 科學師資培育與在職訓練
S70 科學資優學生
S90 其他
S99 非研究計畫
SA0 數學教育一數學教育
SB0 科學教育一科學教育
SBA 資訊教育一資訊教育
SC0 應用科學教育一應用科學教育
SD0 大眾科學教育
SE0 國科會與教育部目標導向計畫
SN0 數位學習國家型科技計畫
SN1 數位典藏與數位學習國家型計畫
SNB 生技教育國家型計畫
SNE 節能減碳教育國家型計畫
SNM 奈米教育國家型計畫
SP0 原住民科學教育計畫
SSD 大眾科學教育計畫
SSK 任務型計畫
SSN 國家型計畫
SSS 學門計畫
SZ0 科教處跨領域計畫
